,State,State Code,Confirmed_Cases,Recovered_Cases,Death_Toll,Country,Active_Cases
0,Andaman and Nikobar Islands,AN,3521,3202,51,India,268
1,Andhra Pradesh,AP,557587,457008,4846,India,95733
2,Arunachal Pradesh,AR,5961,4253,10,India,1698
3,Assam,AS,140471,110883,453,India,29135
4,Bihar,BR,156866,141158,808,India,14900
5,Chandigarh,CH,7542,4864,89,India,2589
6,Chhattisgarh,CT,61763,27978,539,India,33246
7,Delhi,DL,214069,181295,4715,India,28059
8,Dadra NHDD,DN,2706,2418,2,India,286
9,Goa,GA,24185,18576,286,India,5323
10,Gujarat,GJ,112336,92905,3196,India,16235
11,Himachal Pradesh,HP,9229,5947,72,India,3210
12,Haryana,HR,91115,70713,956,India,19446
13,Jharkhand,JH,60460,45074,542,India,14844
14,Jammu and Kashmir,JK,52410,35285,864,India,16261
15,Karnataka,KA,449551,344556,7161,India,97834
16,Kerala,KL,105140,75844,426,India,28870
17,Ladakh,LA,3294,2414,39,India,841
18,Maharashtra,MH,1037765,728512,29115,India,280138
19,Meghalaya,ML,3615,2020,25,India,1570
20,Manipur,MN,7731,6102,45,India,1584
21,Madhya Pradesh,MP,85966,64398,1728,India,19840
22,Mizoram,MZ,1414,823,0,India,591
23,Nagaland,NL,5064,3822,8,India,1234
24,Odisha,OR,150807,115279,679,India,34849
25,Punjab,PB,77057,55385,2288,India,19384
26,Puducherry,PY,19445,14228,370,India,4847
27,Rajasthan,RJ,100705,82902,1221,India,16582
28,Sikkim,SK,2055,1503,13,India,539
29,Telangana,TG,157096,124528,961,India,31607
30,Tamil Nadu,TN,497066,441649,8307,India,47110
31,Tripura,TR,18929,11132,194,India,7603
33,Uttar Pradesh,UP,305831,233527,4349,India,67955
34,Uttarakhand,UT,30336,20031,402,India,9903
35,West Bengal,WB,199493,172085,3887,India,23521
